book_title,isbn,book_author,year_of_publication,publisher
Abschied von Sidonie,3257224281,Erich Hackl,1991,
Die Verwechslung,3453213025,Catriona Beck,2002,
Una tristeza antigua,8484330478,José Luis Sevillano,2001,Anaya -Spain
Los muertos siempre pierden los zapatos,8484332039,Raúl Argemí,2002,Anaya -Spain
Lettres à Yvonne von Wattenwyl,2864322102,Rainer Maria Rilke,1994,Editions Verdier
La Fiesta de Ralph,8478885218,Lisa Jewell,2000,
Dawnspell,0586207414,Katharine Kerr,1990,Voyager
Fifth business,0140260498,Robertson Davies,1996,"Penguin, 1996"
The Amazing Maurice and His Educated Rodents,0552546933,Terry Pratchett,2002,Corgi
Sansibar oder der letzte Grund,3257200552,Alfred Andersch,1970,
Der Medicus,3426029553,Noah Gordon,1990,
Feuer in Berlin,3499433443,Philip Kerr,1998,
Sämtliche Erzählungen,359621078X,Franz Kafka,1970,
Swift,074931012X,James Follett,1991-04-09,Arrow
Stupid white men,0141011904,Michael Moore,2002,
Die Brandmauer,3423206616,Henning Mankell,2004,
Die letzte Nacht der Titanic,3704320196,Walter Lord,1991,
E aí?,8530805461,Rubem A. Alves,1999,Papirus Editora
Weight Watchers 365 dagen lekker slank,9026935722,Means (Naaldwijk),1996,
Mentes criminosas e crimes assustadores,8500010452,John E. Douglas,2002,
A arte da guerra,8501023450,Sun Tzu,1993,
Os piores textos de Washington Olivetto,8589885291,Washington Olivetto,2004,
An Instance of the Fingerpost,009975181X,Iain Pears,1998,Vintage Books
Il manoscritto di Brodie,8496075850,Jorge Luis Borges,2002,
La prima sorsata di birra e altri piccoli piaceri della vita,8804464895,Philippe Delerm,1999,Mondadori
Il diario di Eva,880781112X,Mark Twain,1990,Feltrinelli Editore
L'ultimo teorema di Fermat,8817112917,Simon Singh,1999,
L'ospite inatteso,8876846565,Philippe Delerm,2001,
Queste oscure materie,8877825200,Philip Pullman,1996,
Paulette e Roger,8879285645,Daniel Picouly,2002,
Un amore dell'altro mondo,8806162160,Tommaso Pincio,2002-01-01,
My Dark Places,0099549611,James Ellroy,1997,Random House
The Silver Pigs,0099414732,Lindsey Davis,2000,Random House
Memorias de una vaca,8422655500,Bernardo Atxaga,1995,
"L'oeuvre de Dieu, la part du Diable",2020101653,John Irving,1988,
Le liseur,2070404587,Bernhard Schlink,1999,Editions Gallimard
Les vues animées,2742724613,Michel Tremblay,1999,Montréal : Leméac
Lord Arthur Savile's Crime,1853260665,Oscar Wilde,1993,
Ritratto in seppia,880701601X,Isabel Allende,2002,Feltrinelli Editore
Nessun luogo è lontano,8817134899,Richard Bach,1982-01,
Gatti e scimmie,8817860751,Arnaldo Colasanti,2001,
"Geh, wohin dein Herz dich trägt",3257060580,Susanna Tamaro,1995,
I Capture the Castle,0099845008,Dodie Smith,1949,
The Restaurant at the End of the Universe,0330262130,Douglas Adams,1980,Pan Macmillan Adult
Trainspotting,3442446325,Irvine Welsh,2000,
Aliss,9782922145441,Patrick Senécal,2000,Québec : Alire
Hannibal,0434009407,Thomas Harris,1999,William Heinemann
Tirant el Blanc,8478091351,Joanot Martorell,1990,
Die Erben des Medicus,3426193310,Noah Gordon,1997,
Oranges are Not the Only Fruit,0099935708,Jeanette Winterson,2001,Random House
The Photograph,0141011947,Penelope Lively,2004-01-29,Penguin UK
Immaculate Conceit,0340770015,Stella Duffy,2000,
Blues Legacies and Black Feminism,0349105227,Angela Yvonne Davis,1998,
The Jungle Book,0717283364,Walt Disney,1993,Grolier
Aladdin,0717283372,Walt Disney Company,1993,
I Love You Rhymes,0785316477,,1996-01-01,Publications International
Little boys & girls,0785316493,,1996,
Yummy Rhymes,0785316531,,1996-01-01,Publications International
The Barrytown Trilogy,0749397365,Roddy Doyle,1993,Random House
The Day the Animals Lost Their True Color,0970961502,Dan Rhema,2001-10-01,
A cidade dos deuses selvagens,9722906259,Isabel Allende,2002,
Uma mulher não chora,9725752228,Rita Ferro,1997,
No Logo,0006530400,Naomi Klein,2001-01-01,HarperCollins UK
Memoirs of a Geisha,0679781587,Arthur Golden,1997,Vintage
Il petalo cremisi e il bianco,8806164104,Michel Faber,2003,
Unless,0007137699,Carol Shields,2003,HarperCollins UK
The Twilight of the Elites,0957868251,David Flint,2003,
Un gioco da bambini. Una favola nera di agghiacciante perfezione,8880894536,James Graham Ballard,1999,
Good Omens,0552137030,Terry Pratchett,1991,Random House
Praise and Worship Study Bible,084233338X,Tyndale House Publishers,1997,Tyndale House Pub
Lies of silence,009977920X,Brian Moore,1991,Arrow
Moll Flanders,0140620257,Daniel Defoe,1994,Penguin Mass Market
Feet of Clay,0552142379,Terry Pratchett,1997,Random House
Eden,0552149209,Tim Smit,2002,Open University Press
Gardening in a small space,0752524593,Lance Hattatt,1999-03,
Et si c'était vrai ...,2221090810,Marc Levy,2000,
Die Feuerzangenbowle,3453042476,Heinrich Spoerl,1994,
Mattimeo,0099675404,Brian Jacques,1990,
The Emperor Mage,0590558021,Tamora Pierce,1994,
La mia vita su un piatto,8807701375,India Knight,2001,Feltrinelli Editore
A Passionate Man,0552994421,Joanna Trollope,1991,Corgi
The Men and the Girls,0552994928,Joanna Trollope,1993,Random House
A Fine Balance,0771060548,Rohinton Mistry,1997,Emblem Editions
Harry Potter and the Prisoner of Azkaban,0747546290,J. K. Rowling,1999,Bloomsbury Publishing
A Feast of Stories,0330344927,Clare Francis,1996,
Die unerträgliche Leichtigkeit des Seins,3937793003,Milan Kundera,2004,
O velho e o mar,8496200752,Ernest Hemingway,2003,
Poesias completas,9723706148,Alexandre O'Neill,2001,
L'ombra cinese,8845913104,Georges Simenon,1997,
Gerald's Game,0450586235,Stephen King,1993,
Hidden Lives,0140239820,Margaret Forster,1996,Penguin UK
The best mistake ever! and other stories,0394868161,Richard Scarry,1984-10-12,Random House Books for Young Readers
Taxi!,091988802X,Helen Potrebenko,1975,New Star books
Cam Jansen and the mystery of the television dog,0590461249,David A. Adler,1981-01,
101 Cool Ways to Make Money,1865156035,Nicolas Brasch,2002-10-01,
The Dragonslayer's Apprentice,1869433637,David Calder,1997,
A uzřela oslice anděla,8085794551,Nick Cave,1995,
Where She Has Gone,0771074549,Nino Ricci,1997,
Fiesta,0099908506,Ernest Hemingway,1994,Random House
Smoking Poppy,0575073047,Graham Joyce,2001,
"Low-cost, energy-efficient shelter for the owner and builder",0878571140,Eugene Eccli,1976-02,Rodale Pr
Rim,1857235460,Alexander Besher,1998-01,Orbit Books
Fire,0060501804,Sebastian Junger,2002-09,Avon Books
Antracite,8804520612,Valerio Evangelisti,2004,
In Asia,8830414824,Tiziano Terzani,1998,
Il padrone della città,8838431345,Aleksandra Marinina,1998,
Lo zen e l'arte della manutenzione della motocicletta,8845907341,Robert M. Pirsig,1990,
Parola di Giobbe,8877822171,Giobbe Covatta,1991,
Fiabe tibetane,8885008836,Clifford Thurlow,2001,
La Prisonniere,0553813021,Malika Oufkir,2001,Corgi Books
Close to the Edge,0091881048,Jim Davidson,2001,Random House Uk Limited
My Turn,0712623930,Norman Wisdom,2002,Vintage
Gli anni struggenti,8804484101,Alberto Bevilacqua,2000,
Il duello,8804491523,David Grossman,2001,
Mr Nice,0749395699,Howard Marks,1997,Random House
A little princess,0766607615,Frances Hodgson Burnett,2004,Modern Pub
A star called Henry,0224060198,Roddy Doyle,1999,
Natural Home Doctor,1840386762,Mark Evans,2000-01-01,Selectabook Limited
Vierundzwanzig Thesen zur Gottesfrage,3492004717,Hans Küng,1980-01-01,
Gebrauchsanweisung für Amerika,3492028969,Paul Watzlawick,1984,
Tales of O. Henry,0880299428,O. Henry,1993,
The Stone Angel,0771099894,Margaret Laurence,1988-10-01,New Canadian Library
"Tutti i racconti del mistero, dell'incubo e del terrore",8879831607,Edgar A. Poe,2002,
The Cobra Event,0679308806,Richard Preston,1997,Random House Canada
Under the garden,0146000579,Graham Greene,1995-09-01,Penguin Books
An Old-Fashioned Thanksgiving and Other Stories,0146001109,Louisa May Alcott,1995-09-01,Penguin Books
Illusions,0440139791,Richard Bach,1979,
A Day No Pigs Would Die,0440920833,Robert Newton Peck,1972,Laurel Leaf
The pearl,0553131834,John Steinbeck,1979,
Mrs. Piggle-Wiggle's magic,0590413848,Betty MacDonald,1949-01-01,Scholastic Incorporated
Chicken Sunday,059046244X,Patricia Polacco,1992,
Daily Bible-NIV,0890817596,,1989-09-01,
Bella del Signore,8817106054,Albert Cohen,1997,Bureau Biblioteca Univ. Rizzoli
Lettera a un bambino mai nato,8817853712,Oriana Fallaci,1975,Bureau Biblioteca Univ. Rizzoli
A lua de Joana,9722216333,Maria Teresa Maia Gonzalez,1994,
The Descent,0575068620,Jeff Long,1999,Gollancz
Anne of Ingleside,0770422071,Lucy Maud Montgomery,1984-05-01,
The Eyre Affair,034073356X,Jasper Fforde,2001,Hodder & Stoughton Limited
Lost in a Good Book,0340733578,Jasper Fforde,2002-01-01,New English Library
Meurtriers sans visage,2020555549,Henning Mankell,2003,Contemporary French Fiction
Franklin Is Lost,1550741055,Paulette Bourgeois,1992-01-01,
Larry's Party,0679309519,Carol Shields,1998-09-01,Random House of Canada
Matin brun,2841160297,Franck Pavloff,2003,Cheyne
Between Friends,0552995061,Kathleen Rowntree,1993,Corgi
Surfacing,0860680649,Margaret Atwood,1972,[London] : Andre Deutsch
Servants of the Map,0007139918,Andrea Barrett,2002,Fourth Estate
The Fifth (and probably last) Morningside papers,0771037163,Peter Gzowski,1994,
The Perfect Fit,0865732132,Creative Publishing International Editors,1987,Random House Canada
A Heartbreaking Work of Staggering Genius,0676973655,Dave Eggers,2001,Vintage Canada
Losing It,0771024894,Alan Cumyn,2002,Emblem Editions
As pessoas dos livros,8573022876,Fernanda Young,2000,
Divã,8573024771,Martha Medeiros,2002,Editora Objetiva
Brida,9727110843,Paulo Coelho,1996,
L'histoire de Monsieur Sommer,2070567842,Patrick Süskind,1998,Editions Gallimard
Surrealismo e anarquismo,8585362693,ANDRE BRETON,2001,
SEQUELAS,8585443464,LOURENÇO MUTARELLI,,
O fim do tempo suspenso,9721033561,Philip José Farmer,,
O HOMEM INVISIVEL.,9721035130,Herbert George Wells,1966,
O Gato Malhado e a Andorinha Sinhá: uma história de amor,9722020242,Jorge Amado,2010,Leya
A pomba,9722319914,Patrick Süskind,1997,
A traição do eu,972370403X,Arno Gruen,1996,
POEMAS DO MANUSCRITO PICKERING SEGUIDOS DOS,9726080630,Albert Cossery,1996,
Os homens esquecidos de Deus,9726081327,Albert Cossery,2002,
Uma conjura de saltimbancos,9726081378,Albert Cossery,,
A casa da morte certa,9726081424,Albert Cossery,,
O livro dos disparates,9727100112,Edward Lear,1990,
Cultura e anarquia,9727110541,Matthew Arnold,1994,
The Lord of the Rings,0007123817,John Ronald Reuel Tolkien,2001,
"Friedrich Schiller, Kabale und Liebe",3150000335,Walter Schafarschik,1980,
Sämtliche Romane und mehr in 9 Bänden: Das hohe Fenster. - 1975,3257202083,Raymond Chandler,1974,
Sämtliche Romane und mehr,3257203136,Raymond Chandler,1976,
Die Liebe in den Zeiten der Cholera,342311360X,Gabriel García Márquez,1991,
The Weight of Water,0349109117,Anita Shreve,1997,Abacus Software
The Hotel New Hampshire,0671440276,John Irving,1981,Pocket
Wycliffe and the Redhead,0575064706,William John Burley,1997,Gollancz
Forever Fifty and Other Negotiations,0671643290,Judith Viorst,1989,Simon & Schuster
The Wealthy Barber : the Common Sense Guide to Successful Financial Planning,0773756183,"Chilton, David Barr",1993,Stoddart
Case closed,0553145460,June Thomson,1980,
Buskashì,8807170698,Gino Strada,2002,Feltrinelli Editore
Aristotele e la giustizia poetica,8838916489,Margaret Doody,2000,Palermo [Italy] : Sellerio editore
Sulla sponda del fiume Piedra mi sono seduta e ho pianto,8845229041,Paulo Coelho,1996,
Little house on the prairie,0590021117,Laura Ingalls Wilder,1953,Scholastic
Lo zen e il tiro con l'arco,8845901777,Eugen Herrigel,1975-01,
La boutique del mistero,8804367482,Dino Buzzati,1992,
Screwtape Letters,0020867409,C S Lewis,1982-05-01,
Le diable au corps,2266033689,Raymond Radiguet,1990,Pocket
Temps Des Secrets,2877060527,Marcel Pagnol,1988,Editions de Fallois
Briefe in die chinesische Vergangenheit,3423105410,Herbert Rosendorfer,1986,
Angela's Ashes,0006510345,Frank McCourt,1999,HarperPerennial
Morvern Callar,0099449943,Alan Warner,2002,Vintage Books USA
"The Hobbit, Or, There and Back Again",0261102214,John Ronald Reuel Tolkien,1999,HarperCollins UK
The Bridge,0349102155,Iain Banks,1986,Little Brown
The Fourth Hand,0552771090,John Irving,2002,Random House
The War of Don Emmanuel's Nether Parts,0749391308,Louis De Bernières,1991,Minerva
Trainspotting,0749396067,Irvine Welsh,1999,Vintage Books USA
Evening Class,0752804510,Maeve Binchy,1996,
Yogalates,0753507579,Louise Solomon,2003,Virgin Books Limited
The Hours,1841150355,Michael Cunningham,1999,HarperCollins UK
Scottish Witches and Wizards,1842040405,Lily Seafield,2002-03-01,
The Little Book of Dumb Britain,190178424X,"Private Eye Productions, Limited",2001-10-15,
Le Pays des aveugles,2070375617,Herbert George Wells,1984,Gallimard Education
Vipère au poing,2253001457,Hervé Bazin,1948,LGF/Le Livre de Poche
Someone Like You,2253046922,Roald Dahl,2002-04-01,LGF/Le Livre de Poche
Journal d'Irlande,2737329787,Hervé Jaouen,2002,
TRILOGIE NEW-YORKAISE : CITE DE VERRE. REVENANTS. LA CHAMBRE DEROBEE,2868696945,Paul Auster,1991,Arles [France] : Actes Sud ; [Montréal] : Leméac 1998
Forrest Gump,0552996092,Winston Groom,1994,Random House
The view from saturday,0590129015,E. L. Konigsburg,1996,
The outrageous origin,0590183729,Jim Davis,1997,
Voyage on the Great Titanic,9780590962735,Ellen Emerson White,1998,
Bridget Jones,0330367358,Helen Fielding,2000,
Das Kamel im Nadelöhr,3784419445,Ephraim Kishon,1982,
The Reader,0753804700,Bernhard Schlink,1998-01,
Auf und Davon nach Timbuktu,3499234246,Bruce Chatwin,2003,
Das kurze Leben der Sophie Scholl,3473540420,Hermann Vinke,1991,
A History of Croatia,1566193966,Stephen Gazi,1993,
The Fatal Englishman,0099518015,Sebastian Faulks,1997,Random House
A sud delle nuvole,8830415200,Wally Lamb,1999,
Messaggio per un'aquila che si crede un pollo,8838423806,Anthony De Mello,1996,
Der geteilte Himmel,3423009152,Christa Wolf,1973,
Manipulieren - aber richtig,3426074427,Josef Kirschner,1974,
Fräulein Smillas Gespür für Schnee,3499237016,Peter Høeg,2004,
"Elfen, Feen und Zwerge",3934254454,Ava Minatti,2002,
Angela's Ashes,000649840X,Frank McCourt,1997,HarperPerennial
Kylie Naked,0091880963,Jenny Stanley-Clarke,2002,Random House Uk Limited
The Collector,009974371X,John Fowles,1998-01,Vintage Books USA
Memoirs of a Geisha,0099771519,Arthur Golden,1998,Random House
Kids application Bible,0842329072,Tyndale House Publishers,1994-10,Tyndale House Pub
Porno,0099422468,Irvine Welsh,2003,Random House
Cloudstreet,0140273980,Tim Winton,1998,Penguin Group Australia
Le cycle de Dune,2266026658,Frank Herbert,1980,
Irish Sayings,1902879023,Parragon Book Service Limited,1999-01-01,
A Map of the World,0385473117,Jane Hamilton,1995,Anchor
The Runaway Train,0099385716,Benedict Blathwayt,1997-04-01,Random House Uk Limited
The Nanny,0099427974,Melissa Nathan,2003,Random House
Little Red Train to the Rescue,009969221X,Benedict Blathwayt,1998-06-01,
The Cement Garden,0099755114,Ian McEwan,1997,Random House
Ten Thousand Sorrows,0385600526,Elizabeth Kim,2000,
Dragonsong,0552106615,Anne McCaffrey,1976,Random House
Dragonflight,0552107735,Anne McCaffrey,1969,
Dragonsinger,0552108812,Anne McCaffrey,1978,Random House
The Colour of Magic,0552124753,Terry Pratchett,1983,Random House
The Master of Whitestorm,0586210687,Janny Wurts,1992-01,Voyager
Sailor Bear,0744531500,Martin Waddell,1994-03-01,
Captain Corelli's Mandolin,0749397543,Louis De Bernières,1994,Vintage
Trainspotting,0749336501,Irvine Welsh,1996,Vintage
Jacob Two-Two's First Spy Case,0771074719,Mordecai Richler,1995,McClelland & Stewart Limited
Little Princess,1566197155,Frances Hodgson Burnett,2002-02,
Eine Billion Dollar,3404150406,Andreas Eschbach,2012-05-21,Bastei Lübbe (Bastei Verlag)
哀しい予感,8807840227,Banana Yoshimoto,2003,Feltrinelli Editore
Girl with a Pearl Earring,0006513204,Tracy Chevalier,2000,
Do Androids Dream of Electric Sheep?,1857988132,Philip K. Dick,1999,Phoenix
La ferme des animaux,2070375161,George Orwell,1984-01-04,Editions Gallimard
Ubik,2253051020,Philip Kindred Dick,1989,
Dieu porte-t-il des lunettes noires?,2290337382,Maurice G. Dantec,2003,J'ai lu
Suzanne Somers' Get Skinny on Fabulous Food,0609601628,Suzanne Somers,1999,Crown
Outlander,0770428797,Diana Gabaldon,2001-10-01,Seal Books
Dickens,0749316853,Peter Ackroyd,1994,Random House (UK)
Pass Your Driving Theory Test,0753505657,,2000,Virgin Books Limited
Pass Your Driving Test,0753505703,,2000,Virgin Books Limited
People of Heaven,033036197X,Beverley Harper,2000,Pan Australia
Istanbul,0751346853,Claire Folkard,2002,
The secret history,0670848549,Donna Tartt,1992,
Whirlwind,0006482058,Charles Grant,1995,Voyager
Respiracion artificial / Artificial Respiration,8433924710,Ricardo Piglia,2001,Editorial Anagrama
Sexo en Nueva York,8497594886,Candace Bushnell,2003,DEBOLSILLO
The Fifth Elephant,0552146161,Terry Pratchett,2000,Random House
Nineteen Eighty-four,0140126716,George Orwell,1990,Penguin UK
Death and the Penguin,1860469450,Andreĭ Kurkov,2002,Random House
Le fatiche di Hercule,8804398124,Agatha Christie,1995,
L'anello di Re Salomone,8845906876,Konrad Lorenz,1989,
Dopeland,1740510305,John Birmingham,2003,
La guerra de las salamandras,8493225061,Karel Capek,2003,
Una donna,8807810360,Sibilla Aleramo,1994,Feltrinelli Editore
Hopscotch,1860464289,Julio Cortázar,1967,New American Library of Canada
Canicule,2253032832,Jean Vautrin,1982,
Sophie's choice,0553135457,William Styron,1980,Random House
Charmed Circle,0340588721,Barbara Whitnell,1993,
Le pèlerin de Compostelle,2253143790,Paulo Coelho,1998-01-01,LGF/Le Livre de Poche
Tulip fever,0099288850,Deborah Moggach,2000-03-14,Vintage Books
Birdsong,0099387913,Sebastian Faulks,1994,Random House
Jamie's a Hero,0207185905,Susanne Gervay,1994,
Jonathan Livingston Seagull,0330236474,Richard Bach,1973,Pan
Love Me Tender,0340612843,Libby Hathorn,1994,Hachette Children's Books Australia
Our Fabulous Future,0733311733,Graham Phillips,2002,
Martha and Reuben,0855612819,Ruth Homes,1989,
Wednesday Wizard,1869430727,Sherryl Jordan,1991-09,
The Growing Pains of Adrian Mole,0413588106,Sue Townsend,1984,Vintage
Il genio nell'occhio d'usignolo,8806138480,Antonia Susan Byatt,1995,
Selim. Ovvero il dono della parola,8811667798,Sten Nadolny,1996,Garzanti Libri
Die Fotografin,3888972922,Anne Chaplet,2002-01,
Síntese de história da cultura brasileira,8528602931,Nelson Werneck Sodré,2003,
Cantilena diabólica,8585438010,Dailor Varela,1993*,
A descoberta do mundo,8526502654,Clarice Lispector,1992,
The Sigma Protocol,0752841890,Robert Ludlum,2001,
Hidden from history,0453006892,Martin B. Duberman,1990-11-01,Plume
I Don't Know how She Does it,0099428385,Allison Pearson,2003,Vintage Books
Der Name der Rose,3423105518,Umberto Eco,1986-04-15,
Le vie dei canti,8845911411,Bruce Chatwin,1995,
El secreto de la Atlántida,8401329329,Clive Cussler,2002,
El Eco de Las Bodas,8420465321,Luis Mateo Díez,2003,Alfaguara
El Silmarillion,8445073818,J. R. R. Tolkien,2002-06-27,
The Dolphin Within,0731806883,Olivia De Bergerac,1998,Simon & Schuster Australia
Mirage,0749300035,James Follett,1997,Trafalgar Square
Preserving Family Lands: Book II,0962455733,Stephen J. Small,1997,
Aus den Notizen eines Jähzornigen,3379005657,Anton P. Čechov,1990,
Racconti dell'impossibile,8817151815,Edgar Allan Poe,1993,
All the Myriad Ways,0345271335,Larry Niven,1971,
Shiva descending,0380751682,William Rotsler,1980,
Star Trek,0553113925,Myrna Culbreath,1978,
The sisterhood,0553227041,Michael Palmer,1982,
Juniper Time,0671833367,Kate Wilhelm,1980-05,
The Search for Solutions,0030437717,Horace Freeland Judson,1980,Henry Holt
The Hero's Walk,0676973604,Anita Rau Badami,2001,Vintage Books Canada
Macbeth,081677014X,William Shakespeare,1896,
The Diving-bell and the Butterfly,1857027795,Jean-Dominique Bauby,1997,
The turquoise trail mystery,0717287998,Rita Balducci,1998,
Making Laws for Clouds,014300025X,Nick Earls,2002-05-06,Penguin Group Australia
La repubblica di Korell,8804360976,Isaac Asimov,1992,
Narciso e Boccadoro,8804408898,Hermann Hesse,1995,
Enigma,8804424605,Robert Harris,1996,
Q,8804501227,Luther Blissett,2002,
Lo strano caso del cane ucciso a mezzanotte,8806166484,Mark Haddon,2003,
La mia Africa,8807804506,Karen Blixen,1988,Feltrinelli Editore
Terra!,8807809907,Stefano Benni,1992,Feltrinelli Editore
Il peccato,8807813386,Josephine Hart,1998,
L'oblio,8807814234,Josephine Hart,1997,
Il mondo illuminato,8807816016,Angeles Mastretta,2001,
Cartoline zapatiste,8807840103,Luca Persico,2002,Feltrinelli Editore
La foresta incantata,8817114170,Mary Stewart,1996,Rizzoli
Ectoplasm,8845217256,Clive Barker,1995,
Congo,8846200039,Michael Crichton,1997,
Il mistero di Orione,8846200381,Robert Bauval,1998,
Giudizio finale,8846200659,Richard North Patterson,1998,
I fiumi di porpora,8846202570,Jean-Christophe Grangé,2002,
Donne che corrono coi lupi,8876842527,Clarissa Pinkola Estés,1998,
Le luci di Atlantide,8878195820,Marion Zimmer Bradley,1994,
Le creature del buio,8878242624,Stephen King,1996,Sperling & Kupfer
Tantra,8879724029,Daniel Odier,2000,
Ecce homo,8879830546,Friedrich Nietzsche,1993,
Poesie di pace e libertà,8879831151,Elena Clementelli,2005,
Il mondo perduto,887983245X,Arthur Conan Doyle,1993*,
Le due città,8879835068,Charles Dickens,1994,
"Crepuscolo degli idoli, o, Come si filosofa col martello",8879835424,Friedrich Nietzsche,1994,
Storia della Cina dalle origini ai nostri giorni,887983732X,Paolo Santangelo,1994,
La ragazza dagli occhi d'oro,8879839225,Honoré de Balzac,1969,
A occhi chiusi,8880892118,Kaye Gibbons,1997,Dalai Editore
Natura morta con picchio,888089336X,Tom Robbins,1998,
Tornare a galla,8880899880,Margaret Atwood,2000,Milano : Baldini & Castoldi
Animo infantile e altri racconti,8881830884,Hermann Hesse,1995,
Sangue sardo e altri racconti,8881830892,Grazia Deledda,1995,
La lupa e altre novelle di sesso e di sangue,8881835177,Giovanni Verga,1996,
Grandi speranze,8881839563,Charles Dickens,2002,
Anche le formiche nel loro piccolo s'incazzano,8885988083,Gino Vignali,1992,Dalai Editore
Felicità in questo mondo,8888155031,Giuseppe Cloza,2001,Ist. Buddista It. Soka Gakkai
O amante,8574024864,Marguerite Duras,2003,
História do cerco de Lisboa,8574024872,Jose Saramago,2003,
The Stars' Tennis Balls,0091801516,Stephen Fry,2000,Hutchinson Radius
"Papá, ¿qué es el racismo?",8420442224,Tahar Ben Jelloun,2000,
A ogni pie' so-spinto... Diario intimo di un vero briccone,8826703132,Michele Pernozzoli,2002,
Murder on the Orient Express,0006170064,Agatha Christie,1994,
The God of Small Things,0006551092,Arundhati Roy,1997,HarperPerennial
La piel fría,8435008924,Albert Sánchez Piñol,2003,
The Book of Nothing,0099288451,John D. Barrow,2001,Random House
Die Löwen,3404113888,Ken Follett,1989,
Mr Golightly's Holiday,0007173946,Sally Vickers,2003,Fourth Estate
How to Read a Person Like a Book,1566194016,Gerard I. Nierenberg,1994-05-27,Barnes & Noble Publishing
Qualcuno con cui correre,8804508183,David Grossman,2002,
Il circolo Dante,8817873039,Matthew Pearl,2003,
La spada di Shannara,8804376554,Terry Brooks,1993,
Padre padrone,8820114216,Gavino Ledda,1978,
La locandiera,8879830643,Carlo Goldoni,1993,
Die Geschichte der Zukunft,3870679638,Erik Händeler,2003,
L'enciclopedia imbecille della moto,8887070245,Michel Bidault,1999,
Count of Monte Cristo,8804407204,Alexandre Dumas,1996,
Critica della ragione pura,8845911632,Immanuel Kant,1995,
Saggio sulla libertà,8851520305,John Stuart Mill,2002,
Decameron,8879837648,Giovanni Boccaccio,2002,
Le consolazioni della filosofia,8882462757,Alain de Botton,2000,Guanda
Doña Berta,8466716998,Celia Ruiz Ibáñez,2002,Anaya E.L.E.
Tu parte del trato,8483069687,Josan Hatero,2003,Debate Editorial
El camino de la autodependencia,8425336880,Jorge Bucay,2002,GRIJALBO
The Book of Mirdad,014003286X,Mikhail Naimy,1974-03,Penguin Books
Decifrar pessoas,8587122061,Jo-Ellan Dimitrius,2000,Gulf Professional Publishing
Porci con le ali,8804491574,Marco Lombardo Radice,2001,Mondadori
Harry Potter and the Chamber of Secrets,155192370X,J. K. Rowling,2000,Raincoast Books
Putas,9728632347,,2002,
Knitting,0376044314,,1976,Sunset Books/Sunset Publishing Corporation
Better Homes and Gardens Needlepoint,0696004755,Better Homes and Gardens Editors,1978-01-01,
Catechism of the Catholic Church,0819815195,Catholic Church,1994-06-01,
The Crimson Petal and the White,1841954314,Michel Faber,2003,Canongate Books
"Diccionario Webster universal, inglés-español, espãnol-inglés",1885286090,Sarita Mlawer,1995,
Kiusattu,951205731X,Siegfried Lenz,2001,
Lunch with the Generals,0749317655,Derek Hansen,1994-01-01,Random House (UK)
Ballonglühen,3899776054,Peter Wark,2003,
El diccionario del mago,9707100567,Allan Zola Kronzek,2004,
Away,0771086598,Jane Urquhart,1993,
One hungry monster,0590455761,Susan Heyboer O'Keefe,1992,
Black Sunday,0553109405,Thomas Harris,1975-01-01,
Dragonsong,0553142046,Anne McCaffrey,1980,
Knee-knock rise,0590425390,Natalie Babbitt,1970,
The Shipping News,1857022424,,1993,HarperCollins UK
Fica comigo esta noite,9722026011,Inês Pedrosa,2003,Leya
Storia di sesso e di fumetto,888749536X,Corrado Farina,2001,
I love shopping in bianco,8804509554,Sophie Kinsella,2002,
Il ragazzo sbagliato,8817870579,Willy Russell,2002,
Destroy,8807814676,Isabella Santacroce,2003-01,Feltrinelli Editore
Carne kasher,883846975X,Elena Lappin,2002,
Die maßgebenden Menschen,3492201261,Karl Jaspers,1997,
Outlaw Red,0553150189,Jim Kjelgaard,1953,
"Diary of an Ordinary Woman, 1914-1995",0099449285,Margaret Forster,2004,Random House
La Lápida templaria,8408031996,Nicholas Wilcox,1999,
Bob and Jilly,0416551009,Annie M. G. Schmidt,1976-01-01,
Mort : a discworld novel,0552131067,Terry Pratchett,1988,Random House
Pocahontas,072143584X,,1995,Ladybird Books
Beauty and the Beast,0721442714,Disney,1994,
The Little Mermaid,0721443435,Disney,1994,Ladybird Books
Aladdin,0721443451,,1994,Ladybird Books
مهمان مامان,9643125777,مرادي كرماني، هوشنگ,2001,
